Ex-Div Date,Dividend,Price on Ex-Date,Frequency,Annualized Yield,Annualized_Yield_Plotted_Percent
2025-02-06,0.537,8.170000076293945,monthly,0.7887392827201921,78.87392827201921
2025-03-06,0.465,6.789999961853027,monthly,0.8217967645580352,82.17967645580352
2025-03-13,0.103,6.239999771118164,weekly,0.8583333648168135,85.83333648168136
2025-03-20,0.098,6.53000020980835,weekly,0.7803981372535919,78.03981372535918
2025-03-27,0.099,6.329999923706055,weekly,0.8132701519822415,81.32701519822415
2025-04-03,0.092,5.760000228881836,weekly,0.8305555225522443,83.05555225522443
2025-04-10,0.082,5.570000171661377,weekly,0.7655295993874569,76.55295993874569
2025-04-17,0.085,5.630000114440918,weekly,0.785079912993736,78.5079912993736
2025-04-24,0.084,5.809999942779541,weekly,0.7518072363199235,75.18072363199235
2025-05-01,0.094,5.860000133514404,weekly,0.8341296738279306,83.41296738279306
2025-05-08,0.118,6.019999980926514,weekly,1.0192691062194377,101.92691062194376
2025-05-15,0.106,6.139999866485596,weekly,0.8977198892277746,89.77198892277745
2025-05-22,0.098,6.099999904632568,weekly,0.8354098491263757,83.54098491263757
2025-05-29,0.095,6.130000114440918,weekly,0.8058727418882845,80.58727418882845
2025-06-05,0.095,6.039999961853027,weekly,0.8178807998674962,81.78807998674962
2025-06-12,0.095,6.190000057220459,weekly,0.7980613819603493,79.80613819603492
2025-06-20,0.088,6.199999809265137,weekly,0.7380645388346191,73.80645388346191
2025-06-26,0.092,6.269999980926514,weekly,0.7629984074247272,76.29984074247272
2025-07-03,0.095,6.28000020980835,weekly,0.7866241775413503,78.66241775413502
2025-07-10,0.096,6.230000019073486,weekly,0.8012841066961025,80.12841066961025
2025-07-17,0.104,6.400000095367432,weekly,0.8449999874085189,84.4999987408519
2025-07-24,0.103,6.260000228881836,weekly,0.8555910230304722,85.55910230304721
2025-07-31,0.101,6.139999866485596,weekly,0.8553746114340118,85.53746114340119
2025-08-07,0.1,6.039999961853027,weekly,0.8609271577552591,86.0927157755259
2025-08-14,0.101,5.949999809265137,weekly,0.8826891039259809,88.26891039259809
